Rk,Player,,,Team,Conf,Min%,PRPG!,BPM,ORtg,D-Rtg,Usg,eFG,TS,OR,DR,Ast,TO,Blk,Stl,FTR,2P,,3P/100,3P,
104,Sr,6-2,Laura Ziegler,Louisville,ACC,69.8,4.9,10.8,117.3,78.4,19.4,52,54.7,8.2,18.6,17.4,15.9,1.9,1.2,12.8,111-219,0.507,7.2,48-133,0.361
105,So,5-8,Allie Turner,Gonzaga,WCC,82.7,4.9,5,115.9,94.2,20.1,57,62,0.9,7.2,19.8,23,0.7,1,24.6,75-177,0.424,9.5,89-189,0.471
106,So,5-9,Kennedy Blair,Michigan St.,B10,75.1,4.9,11,105.7,74.9,26.7,52.1,57.3,3.6,24.5,30,24.7,1.6,4.3,43.5,159-289,0.55,2.9,12-51,0.235
107,Sr,6-1,Lee Volker,Marquette,BE,83.5,4.8,7.5,115.4,87.1,17.8,55.8,59.7,6,11.7,16.4,17.4,1.5,2.5,23.3,63-131,0.481,8.2,57-135,0.422
108,So,5-7,Zamareya Jones,N.C. State,ACC,77.5,4.8,7.8,104.8,83.4,23.5,50.5,53.1,0.9,9.1,21.2,17.1,1.6,2.1,17.6,102-218,0.468,10.3,68-186,0.366
109,Sr,5-11,Perri Page,Columbia,Ivy,73.8,4.8,10.2,113.9,78.3,23.2,55.5,58.6,9,15.9,15.7,19.1,1.1,4.8,35.6,180-310,0.581,2.6,11-44,0.25
110,Jr,6-3,Delaney Thomas,Duke,ACC,67,4.8,11.2,120.9,71,17.1,60.2,64.2,9.9,14.7,6,16.9,1.6,3.6,43.2,156-258,0.605,0.1,0-1,0
111,Jr,5-9,Skye Belker,Princeton,Ivy,81.4,4.8,3.7,113.2,95.5,19.9,55,59.5,2.9,5.9,16,20.1,0.2,1.1,27.7,81-168,0.482,7.4,52-121,0.43
112,Jr,6-2,Sharnecce Currie-Jelks,Murray St.,MVC,73.8,4.8,6.9,117.4,88.7,25.6,56.4,61.7,11.1,29.8,12,17,3.1,2.3,47.4,210-362,0.58,1.9,10-37,0.27
113,Sr,5-10,Ali Saunders,Southern Indiana,OVC,89.3,4.8,6.1,107.8,91.3,26.9,48,54.4,1.6,7.9,29.9,19.8,0.6,3.3,30.4,90-235,0.383,10.9,78-196,0.398
114,Sr,6-3,Cassandre Prosper,Notre Dame,ACC,82.6,4.8,6.4,107.3,79.3,20.9,51.5,55.5,7.7,15,8.7,16.8,3.3,2.7,31.4,173-329,0.526,2.7,18-59,0.305
115,So,5-8,Camryn Runner,Evansville,MVC,89.1,4.8,4.1,108.6,101.1,26.6,46.6,56.4,4.6,12.4,32.9,19.3,1.5,2.4,57.1,151-318,0.475,5.8,39-132,0.295
116,Sr,5-7,Jess Lawson,Loyola Marymount,WCC,67.6,4.8,10.4,113,85.5,28.9,44.5,52,12.9,25.8,18.9,11.3,0.3,4.7,53,134-312,0.429,3,16-43,0.372
117,Sr,5-6,Mia Moore,Clemson,ACC,76.7,4.8,7.8,105.3,81.8,25.8,50.9,54.6,3.1,16.8,30.8,21.4,0.9,2.4,38.9,119-242,0.492,5.5,34-92,0.37
118,Jr,5-9,KK Arnold,Connecticut,BE,59.2,4.7,15.5,130.9,63,15.1,60.2,62.9,2.8,7.5,25.1,17.5,0.7,6.1,39,78-120,0.65,3.5,19-57,0.333
119,So,6-2,Amiah Hargrove,Nebraska,B10,59,4.7,7.9,123.3,83.9,20.6,57.3,60.6,9.1,18.4,5.1,8.3,1.5,1.6,24.2,132-234,0.564,4.4,24-59,0.407
120,Sr,6-2,Sacha Washington,Vanderbilt,SEC,56.3,4.7,9.2,123.2,79.2,21.2,57.2,60.5,18.7,17.9,13.2,17.2,3.3,2.3,40.3,135-236,0.572,0,0-0,0
121,So,5-10,Talayah Walker,Georgia Tech,ACC,79.2,4.7,7.6,102.3,82.6,26.9,48.4,54.8,7.1,12.2,13.7,17.1,0.7,2.3,41.7,152-340,0.447,5.4,42-104,0.404
122,Jr,6-2,Kendall Bennett,Binghamton,AE,80.3,4.7,4.9,117.1,89.9,21.3,61,66,12.4,24.6,5,20.8,4.8,2.4,53.9,163-266,0.613,0.1,0-1,0
123,Jr,5-9,Gabby Casey,Saint Joseph's,A10,77.1,4.7,7.9,107.8,87.9,24.6,57.1,59.9,5.8,15.9,23,20.6,0.8,2.8,23.7,94-175,0.537,10.1,61-150,0.407
124,Jr,6-2,Carys Baker,Virginia Tech,ACC,80.8,4.7,8.5,113.2,80.9,19.2,50.8,53.1,6.8,15.9,8,9.7,3.2,0.8,15.7,112-241,0.465,9,66-174,0.379
125,Sr,5-9,Sydney Shaw,West Virginia,B12,79.8,4.7,11.6,114.2,73.8,17.4,56.3,57.9,2,15.8,12.9,17.5,1.4,3.3,12.5,60-136,0.441,11.2,95-224,0.424
